stage97_task_id,source_task_id,sequence,codec,reference_gap,target_index,base_method,candidate,keep_fraction,keep_gaussians,precision_at_keep,energy_recall_total,oracle_energy_recall_total,relative_energy_recall_vs_oracle,base_psnr,sideinfo_psnr,teacher_oracle_sideinfo_psnr,delta_psnr_vs_base,gap_to_teacher_oracle_psnr
stage97_00011828,stage79_00023867,cows,q12,4,70,linear,teacher_oracle_topk,0.1,3686,1.0,0.5325462818145752,0.5325462818145752,1.0,19.03712952287814,20.95233576638824,20.95233576638824,1.9152062435101023,0.0
stage97_00011828,stage79_00023867,cows,q12,4,70,linear,endpoint_diff_baseline,0.1,3686,0.2655995786190033,0.19786673784255981,0.5325462818145752,0.37154844403266907,19.03712952287814,19.79546846221249,20.95233576638824,0.7583389393343509,-1.1568673041757513
stage97_00011828,stage79_00023867,cows,q12,4,70,linear,shared_topk_bce,0.1,3686,0.28269127011299133,0.22370198369026184,0.5325462818145752,0.4200611114501953,19.03712952287814,19.79314658348943,20.95233576638824,0.7560170606112919,-1.1591891828988103
stage97_00011828,stage79_00023867,cows,q12,4,70,linear,shared_energy_regression,0.1,3686,0.281334787607193,0.217212975025177,0.5325462818145752,0.40787625312805176,19.03712952287814,19.805129205943377,20.95233576638824,0.7679996830652378,-1.1472065604448645
stage97_00011828,stage79_00023867,cows,q12,4,70,stage65_adapter,teacher_oracle_topk,0.1,3686,1.0,0.2316221296787262,0.2316221296787262,1.0,19.96393257405462,21.396249358991,21.396249358991,1.4323167849363792,0.0
stage97_00011828,stage79_00023867,cows,q12,4,70,stage65_adapter,endpoint_diff_baseline,0.1,3686,0.26424309611320496,0.1264503449201584,0.2316221296787262,0.5459337830543518,19.96393257405462,20.655931604321054,21.396249358991,0.6919990302664338,-0.7403177546699453
stage97_00011828,stage79_00023867,cows,q12,4,70,stage65_adapter,shared_topk_bce,0.1,3686,0.38551273941993713,0.15351657569408417,0.2316221296787262,0.6627888679504395,19.96393257405462,20.593568916086245,21.396249358991,0.629636342031624,-0.8026804429047552
stage97_00011828,stage79_00023867,cows,q12,4,70,stage65_adapter,shared_energy_regression,0.1,3686,0.3665219843387604,0.14995044469833374,0.2316221296787262,0.6473925709724426,19.96393257405462,20.595893161286654,21.396249358991,0.6319605872320331,-0.8003561977043461
stage97_00013647,stage79_00027310,judo,q12,16,15,linear,teacher_oracle_topk,0.1,3686,1.0,0.961725652217865,0.961725652217865,1.0,27.30718744720951,31.6466364469021,31.6466364469021,4.339448999692589,0.0
stage97_00013647,stage79_00027310,judo,q12,16,15,linear,endpoint_diff_baseline,0.1,3686,0.5181769132614136,0.6011047959327698,0.961725652217865,0.6250272989273071,27.30718744720951,29.793099437407108,31.6466364469021,2.4859119901975966,-1.8535370094949926
